Date,Time gap,Count,Average speed
2021-12-24,13,2,18
2021-12-24,14,2,23
2021-12-24,15,2,14
2021-12-24,16,14,21
2021-12-24,17,3,18
2021-12-24,18,4,16
2021-12-24,19,7,22
2021-12-24,20,11,22
2021-12-24,21,5,21
2021-12-24,22,7,24
2021-12-24,23,7,20
2021-12-24,24,11,21
2021-12-24,25,17,20
2021-12-24,26,13,19
2021-12-24,27,12,18
2021-12-24,28,23,20
2021-12-24,29,20,19
2021-12-24,30,23,19
2021-12-24,31,25,19
2021-12-24,32,41,21
2021-12-24,33,28,17
2021-12-24,34,22,18
2021-12-24,35,26,18
2021-12-24,36,23,19
2021-12-24,37,24,17
2021-12-24,38,33,18
2021-12-24,39,32,18
2021-12-24,40,39,20
2021-12-24,41,36,17
2021-12-24,42,32,17
2021-12-24,43,31,19
2021-12-24,44,32,18
2021-12-24,45,44,18
2021-12-24,46,51,17
2021-12-24,47,47,17
2021-12-24,48,51,20
2021-12-24,49,45,18
2021-12-24,50,50,18
2021-12-24,51,40,19
2021-12-24,52,46,19
2021-12-24,53,47,19
2021-12-24,54,50,19
2021-12-24,55,58,19
2021-12-24,56,31,19
2021-12-24,57,37,19
2021-12-24,58,45,19
2021-12-24,59,50,19
2021-12-24,60,49,18
2021-12-24,61,43,17
2021-12-24,62,34,20
2021-12-24,63,27,18
2021-12-24,64,41,19
2021-12-24,65,37,19
2021-12-24,66,30,18
2021-12-24,67,36,19
2021-12-24,68,31,16
2021-12-24,69,28,19
2021-12-24,70,23,17
2021-12-24,71,21,19
2021-12-24,72,16,17
2021-12-24,73,23,18
2021-12-24,74,19,20
2021-12-24,75,15,17
2021-12-24,76,10,22
2021-12-24,77,16,17
2021-12-24,78,14,17
2021-12-24,79,18,20
2021-12-24,80,11,18
2021-12-24,81,8,17
2021-12-24,82,9,18
2021-12-24,83,7,18
2021-12-24,84,14,19
2021-12-24,85,12,20
2021-12-24,86,7,19
2021-12-24,87,4,17
2021-12-24,88,13,20
2021-12-24,89,8,14
2021-12-24,90,8,19
2021-12-24,91,11,18
2021-12-24,92,5,17
2021-12-24,93,8,19
2021-12-24,94,3,23
2021-12-24,95,6,17
2021-12-24,96,7,19
2021-12-25,1,3,17
2021-12-25,2,5,19
2021-12-25,3,1,15
2021-12-25,4,4,19
2021-12-25,5,3,13
2021-12-25,6,2,15
2021-12-25,7,3,20
2021-12-25,8,1,15
2021-12-25,9,1,15
2021-12-25,10,2,18
2021-12-25,11,1,20
2021-12-25,12,2,22
2021-12-25,13,1,10
2021-12-25,14,2,18
2021-12-25,15,5,17
2021-12-25,16,4,16
2021-12-25,17,3,16
2021-12-25,18,0,-1
2021-12-25,19,2,20
2021-12-25,20,0,-1
2021-12-25,21,1,21
2021-12-25,22,0,-1
2021-12-25,23,2,17
2021-12-25,24,3,22
2021-12-25,25,1,34
2021-12-25,26,1,16
2021-12-25,27,2,20
2021-12-25,28,1,17
2021-12-25,29,3,19
2021-12-25,30,4,20
2021-12-25,31,3,24
2021-12-25,32,4,20
2021-12-25,33,4,19
2021-12-25,34,4,16
2021-12-25,35,9,16
2021-12-25,36,4,17
2021-12-25,37,11,18
2021-12-25,38,3,20
2021-12-25,39,9,17
2021-12-25,40,5,16
2021-12-25,41,11,18
2021-12-25,42,10,18
2021-12-25,43,8,19
2021-12-25,44,10,17
2021-12-25,45,11,18
2021-12-25,46,5,20
2021-12-25,47,24,16
2021-12-25,48,16,18
2021-12-25,49,16,18
2021-12-25,50,21,18
2021-12-25,51,10,20
2021-12-25,52,13,15
2021-12-25,53,16,17
2021-12-25,54,11,19
2021-12-25,55,9,16
2021-12-25,56,12,19
2021-12-25,57,19,18
2021-12-25,58,10,18
2021-12-25,59,27,18
2021-12-25,60,17,17
2021-12-25,61,11,17
2021-12-25,62,23,18
2021-12-25,63,18,18
2021-12-25,64,20,18
2021-12-25,65,13,18
2021-12-25,66,14,20
2021-12-25,67,15,18
2021-12-25,68,13,18
2021-12-25,69,16,18
2021-12-25,70,18,20
2021-12-25,71,12,17
2021-12-25,72,21,18
2021-12-25,73,17,21
2021-12-25,74,15,19
2021-12-25,75,16,18
2021-12-25,76,10,17
2021-12-25,77,19,19
2021-12-25,78,6,22
2021-12-25,79,10,19
2021-12-25,80,12,18
2021-12-25,81,10,20
2021-12-25,82,12,20
2021-12-25,83,8,19
2021-12-25,84,8,15
2021-12-25,85,9,18
2021-12-25,86,4,17
2021-12-25,87,13,21
2021-12-25,88,8,20
2021-12-25,89,10,19
2021-12-25,90,7,20
2021-12-25,91,4,13
2021-12-25,92,5,15
2021-12-25,93,2,18
2021-12-25,94,3,16
2021-12-25,95,5,22
2021-12-25,96,2,21
2021-12-26,1,3,22
2021-12-26,2,5,18
2021-12-26,3,2,15
2021-12-26,4,2,19
2021-12-26,5,4,17
2021-12-26,6,0,-1
2021-12-26,7,1,15
2021-12-26,8,0,-1
2021-12-26,9,1,19
2021-12-26,10,2,11
2021-12-26,11,2,21
2021-12-26,12,1,16
2021-12-26,13,1,27
2021-12-26,14,4,18
2021-12-26,15,5,14
2021-12-26,16,4,16
2021-12-26,17,2,13
2021-12-26,18,0,-1
2021-12-26,19,1,17
2021-12-26,20,3,19
2021-12-26,21,4,22
2021-12-26,22,3,22
2021-12-26,23,5,19
2021-12-26,24,1,22
2021-12-26,25,2,18
2021-12-26,26,4,20
2021-12-26,27,6,19
2021-12-26,28,4,19
2021-12-26,29,4,20
2021-12-26,30,5,19
2021-12-26,31,5,18
2021-12-26,32,6,22
2021-12-26,33,13,20
2021-12-26,34,6,23
2021-12-26,35,13,19
2021-12-26,36,16,17
2021-12-26,37,8,19
2021-12-26,38,19,20
2021-12-26,39,10,19
2021-12-26,40,19,18
2021-12-26,41,24,19
2021-12-26,42,25,19
2021-12-26,43,19,18
2021-12-26,44,32,20
2021-12-26,45,32,19
2021-12-26,46,24,21
2021-12-26,47,26,20
2021-12-26,48,24,19
2021-12-26,49,23,16
2021-12-26,50,34,18
2021-12-26,51,28,18
2021-12-26,52,33,18
2021-12-26,53,30,19
2021-12-26,54,20,17
2021-12-26,55,11,20
2021-12-26,56,11,17
2021-12-26,57,21,16
2021-12-26,58,21,18
2021-12-26,59,22,17
2021-12-26,60,20,16
2021-12-26,61,20,18
2021-12-26,62,22,18
2021-12-26,63,20,19
2021-12-26,64,18,18
2021-12-26,65,18,18
2021-12-26,66,12,16
2021-12-26,67,15,17
2021-12-26,68,16,18
2021-12-26,69,17,18
2021-12-26,70,19,19
2021-12-26,71,19,17
2021-12-26,72,20,19
2021-12-26,73,15,18
2021-12-26,74,16,18
2021-12-26,75,16,18
2021-12-26,76,15,18
2021-12-26,77,18,19
2021-12-26,78,21,18
2021-12-26,79,9,20
2021-12-26,80,15,17
2021-12-26,81,20,21
2021-12-26,82,7,17
2021-12-26,83,8,16
2021-12-26,84,10,21
2021-12-26,85,8,21
2021-12-26,86,8,16
2021-12-26,87,8,19
2021-12-26,88,14,20
2021-12-26,89,12,17
2021-12-26,90,7,16
2021-12-26,91,5,18
2021-12-26,92,8,15
2021-12-26,93,3,18
2021-12-26,94,3,15
2021-12-26,95,4,16
2021-12-26,96,5,17
2021-12-27,1,3,19
2021-12-27,2,0,-1
2021-12-27,3,2,22
2021-12-27,4,3,22
2021-12-27,5,1,21
2021-12-27,6,2,16
2021-12-27,7,3,20
2021-12-27,8,0,-1
2021-12-27,9,2,21
2021-12-27,10,0,-1
2021-12-27,11,1,19
2021-12-27,12,3,21
2021-12-27,13,0,-1
2021-12-27,14,0,-1
2021-12-27,15,2,20
2021-12-27,16,6,19
2021-12-27,17,3,22
2021-12-27,18,4,19
2021-12-27,19,9,22
2021-12-27,20,8,22
2021-12-27,21,4,18
2021-12-27,22,4,21
2021-12-27,23,4,19
2021-12-27,24,7,24
2021-12-27,25,8,18
2021-12-27,26,13,19
2021-12-27,27,17,21
2021-12-27,28,10,20
2021-12-27,29,15,20
2021-12-27,30,13,19
2021-12-27,31,22,21
2021-12-27,32,33,19
2021-12-27,33,20,20
2021-12-27,34,12,17
2021-12-27,35,20,16
2021-12-27,36,13,18
2021-12-27,37,18,19
